Age,Rate,Future,UpperTop,UpperBottom,LowerTop,LowerBottom
62,,1.382688,1.425551328,1.399833331,1.365542669,1.339824672
63,,1.383712,1.427298928,1.401146771,1.366277229,1.340125072
64,,1.384736,1.429047552,1.402460621,1.367011379,1.340424448
65,,1.38576,1.4307972,1.40377488,1.36774512,1.3407228
66,,1.386784,1.432547872,1.405089549,1.368478451,1.341020128
67,,1.387808,1.434299568,1.406404627,1.369211373,1.341316432
68,,1.388832,1.436052288,1.407720115,1.369943885,1.341611712
69,,1.389856,1.437806032,1.409036013,1.370675987,1.341905968
70,,1.39088,1.4395608,1.41035232,1.37140768,1.3421992
71,,1.391904,1.441316592,1.411669037,1.372138963,1.342491408
72,,1.392928,1.443073408,1.412986163,1.372869837,1.342782592
73,,1.393952,1.444831248,1.414303699,1.373600301,1.343072752
74,,1.394976,1.446590112,1.415621645,1.374330355,1.343361888
75,,1.396,1.44835,1.41694,1.37506,1.34365
76,,1.397024,1.450110912,1.418258765,1.375789235,1.343937088
77,,1.398048,1.451872848,1.419577939,1.376518061,1.344223152
78,,1.399072,1.453635808,1.420897523,1.377246477,1.344508192
79,,1.400096,1.455399792,1.422217517,1.377974483,1.344792208
80,,1.40112,1.4571648,1.42353792,1.37870208,1.3450752
81,,1.402144,1.458930832,1.424858733,1.379429267,1.345357168
82,,1.403168,1.460697888,1.426179955,1.380156045,1.345638112
83,,1.404192,1.462465968,1.427501587,1.380882413,1.345918032
84,,1.405216,1.464235072,1.428823629,1.381608371,1.346196928
85,,1.40624,1.4660052,1.43014608,1.38233392,1.3464748
86,,1.407264,1.467776352,1.431468941,1.383059059,1.346751648
87,,1.408288,1.469548528,1.432792211,1.383783789,1.347027472
88,,1.409312,1.471321728,1.434115891,1.384508109,1.347302272
89,,1.410336,1.473095952,1.435439981,1.385232019,1.347576048
90,,1.41136,1.4748712,1.43676448,1.38595552,1.3478488
